judul,abstraksi
PENGARUH FAKTOR-FAKTOR PELATIHAN DAN PENGEMBANGAN TERHADAP PRODUKTIVITAS KERJA DINAS KELAUTAN DAN PERIKANAN KABUPATEN BANGKALAN,"                                    ABSTRAK
Satiyah, Pengaruh Faktor-faktor Pelatihan dan Pengembangan Terhadap Produktivitas Kerja Dinas Kelautan dan Perikanan Bangkalan. Dibawah bimbingan Dra.Hj.S.Anugrahini Irawati,MM dan  Helmi Buyung Aulia,S,ST.SE,M.MT
Dalam upaya meningkatkan produktivitas kerja tidaklah mudah, oleh karena itu salah satu usaha agar produktivitas meningkat adalah menerapkan program pelatihan dan pengembangan sumber daya manusia (SDM) perlu dilaksanakan dalam instansi agar produktivitas yang tinggi dapat tercapai dengan meningkat kemampuan pegawai agar dapat bekerja secara efektif dan efisien. Dengan adanya pelatihan dan pengembnagan diharapkan pegawai juga mampu menyesuaikan diri dengan kebutuhan-kebutuhan baru atas sikap, tingkah laku keterampilan dan pengetahuan sesuai dengan tuntutan perubahan. Dengan adanya pelatihan dan pengembangan pegawai yang baik dapat mendukung terciptanya suasana kerja yang kondusif dalam instansi, sehingga dengan sendirinya produktivitasi kerja akan meningkat.
Tujuan penelitian ini adalah untuk mengetahui seberapa besar Pengaruh Faktor-faktor Pelatihan dan Pengembangan Terhadap Produktivitas Kerja Dinas Kelautan dan Perikanan Bangkalan. Untuk mengukur dan menganalisa hubungan antara kedua variabel di atas, peneliti menggunakan pendekatan observasional analitik, yaitu melakukan pengamatan secara langsung kepada responden dengan penyebaran kuisioner untuk dianalisis. Penelitian ini merupakan penelitian populasi dengan 30 responden sebagai sampel serta diolah dengan SPSS Versi 13.00 dan dianalisis dengan menggunakan metode statistik, yaitu metode non probality sampling secara simple random sampling.
Kesimpulan penelitian ini adalah (1a). Faktor-faktor pelatihan dan pengembangan yang terdiri dari, perbedaan individu pegawai (X1), hubungan dengan analisis jabatan (X2), motivasi (X3), partisipasi aktif (X4), seleksi peserta (X5), seleksi  instruktur (X6) dan metode pelatihan dan pengembangan (X7) mempunyai pengaruh simultan terhadap produktivitas kerja pegawai Dinas Kelautan dan Perikanan Kabupaten Bangkalan. Terbukti dengan nilai koefisien determinasi berganda (R2) atau R square = 0,751, Fhitung 9,500 lebih besar dari Ftabel 2,37. (1b) Faktor hubungan dengan analisis jabatan tidak berpengaruh secara parsial terhadap produktivitas kerja pegawai Dinas Kelautan dan Perikanan Kabupaten Bangkalan. (2) Pengujian Hipotesis kedua menunjukkan bahwa variabel motivasi (X3) tidak terbukti, karena dilihat dari nilai thitung Sebesar 6,442 menunjukkan bahwa seleksi peserta (X5) yang mempunyai pengaruh (dominan) terhadap produktivitas kerja pegawai pada instansi Dinas Kelautan dan Perikanan Bangkalan. 

Kata kunci : Dinas Kelautan dan Perikanan, Faktor-faktor Pelatihan dan Pengembangan,  Produktivitas Kerja.
"
PENGARUH RELATIONSHIP MARKETING TERHADAP LOYALITAS NASABAH ADIRA FINANCE DI WILAYAH SURABAYA BARAT,"Tujuan penelitian ini adalah untuk mengetahui pengaruh variabel Relationship Marketing yang terdiri dari keuntungan bersama, komitmen, komunikasi, dan kebenaran terhadap loyalitas nasabah Adira Finance dan untuk mengetahui variabel relationship marketing yang berpengaruh lebih besar terhadap loyalitas nasabah Adira Finance di wilayah Surabaya barat.
Berdasarkan uji F variabel Relationship marketing yang terdiri dari keuntungan bersama, komitmen, komunikasi, kebenaran secara simultan berpengaruh signifikan terhadap loyalitas nasabah Adira Finance wilayah Surabaya barat. Berdasarkan uji t diketahui bahwa secara parsial variabel keuntungan bersama, komitmen, kebenaran berpengaruh signifikan terhadap variabel terikat sedangkan variabel komunikasi berpengaruh negatif terhadap variabel terikat. Variabel yang berpengaruh lebih besar adalah variabel komitmen.  
Kata kunci : Relationship Marketing, keuntungan bersama, komitmen, komunikasi, kebenaran, dan Loyalitas.
"
PENGARUH GAYA KEPEMIMPINAN DEMOKRATIK TERHADAP DISIPLIN KERJA PEGAWAI DI KANTOR KEC. PUCUK KAB. LAMONGAN JAWA TIMUR,
Pengukuran Website Quality Pada Situs Sistem Akademik Online Menggunakan Analisis Tingkat Kepentingan - Kinerja (Studi Pada Portal Akademik UTM),"Aplikasi nyata pemanfaatan teknologi informasi dan komunikasi adalah pada bidang layanan administrasi akademik perguruan tinggi, salah satunya sistem portal akademik Universitas Trunojoyo Madura. Implementasi dalam proses penyelenggaraannya sering menemui banyak kendala, baik teknis maupun non teknis. Penelitian ini bertujuan untuk mengetahui kepuasan pelanggan berdasarkan analisis indeks kepuasan pelanggan ditinjau dari Webqual 4.0 dan untuk mengetahui fokus perbaikan mutu terhadap pelayanan website portal akademik Universitas Trunjoyo Madura berdasarkan Importance Performance Analysis ditinjau dari Webqual 4.0.
	Penelitian ini merupakan penelitian kuantitaif deskriptif, digunakan untuk mengetahui gambaran, deskripsi, atau lukisan secara sistematis, faktual dan akurat mengenai kualitas pelayanan jasa online yang diberikan kepada mahasiswa.Sampelpenelitianiniadalahmahasiswaangkatan 2009/2010, teknik sampel yang digunakan teknik Stratified Random Sampling dengan alat analisis Indeks Kepuasan Pelanggan dan analisis Tingkat Kepentingan – Kinerja. Hasil penelitian didapat skor Indeks Kepuasan Pelanggan (IKP) sebesar 60.42% dan masuk dalam kategori “cukup puas”, sedangkan Diagram  Kartesius Importance Performance menunjukkan bahwa terdapat  tiga atribut yang menjadi prioritas utama perbaikan mutu yakni Situs portal akademik Universitas Trunojoyo Madura memberikan informasi administrasi dan akademik mahasiswa yang jelas,detail dan ter update (KI 4), Informasi administrasi dan akademik disitus portal akademik UTM dapat dipercaya  (KI 3), Melalui portal UTM, pengguna merasa aman bahwa data akademik mahasiswa (KRS, KHS, Transkrip, data personal) sesuai (KIP 4).
Kata kunci : website, importance performance, webqual, indeks kepuasan pelanggan.
"
"Analisis Kinerja Keuangan Perusahaan yang terdaftar di BEI sebelum dan sesudah akuisisi
( studi pada perusahaan manufaktur yang melakukan akuisisi tahun 2008)
","Diana Agustini Dewi, 2013. “Analisis Kinerja Keuangan Perusahaan yang terdaftar di BEI sebelum dan sesudah akuisisi ( studi pada perusahaan manufaktur yang melakuukan akuisisi tahun 2008) Jurusan Ekonomi Manajemen, Fakultas Ekonomi, Universitas Trunojoyo Madura.

Penelitian ini bertujuan untuk menganalisis perbedaan kinerja keuangan perusahaan manufaktur antara sebelum dan sesudah akuisisi. Penelitian dilakukan terhadap perusahaan manufaktur yang terdaftar di Bursa Efek Indonesia.
	Populasi dalam penelitian ini adalah seluruh perusahaan manufaktur 
Yang terdaftar di bursa efek Indonesia yang melakukan akuisisi pada tahun 2008, yang terdiri dari 48 perusahaan. Dari populasi tersebut dipilih sample menggunakan metode purposive sampling yang didasarkan pada lima kriteria. Perusahaan manufaktur  yang terdaftar di BEI dari tahun 2004- tahun 2011,Tersedia laporan keuangan untuk 4 tahun sebelum dan 4 tahun sesudah aktivitas akuisisi,Melakukan akuisisi pada tahun 2008,Merupakan perusahaan pengakuisisi/ pengambil alih asset,Perusahaan tersebut mengakuisisi secara langsung (tidak melalui anak perusahaan). Berdasarkan kriteria yang telah disebutkan, maka diperoleh 9 perusahaan sampel. Penelitian sampel dilakukan selama empat tahun sebelum akuisisi ( tahun 2004- tahun 2007) dan empat tahun sesudah akuisisi (2008-2011).
	Variabel dalam penelitian ini adalah kinerja keuangan perusahaan yang diukur menggunakan alat analisis berupa current ratio, total asset turnover, debt ratio, return on investmen, dan earning per share.Kelima rasio tersebut kemudian dianalisisi menggunakan metode analisis Paired-samples t test.
"
PENGARUH STRUKTUR MODAL DAN LIKUIDITAS TERHADAP PROFITABILITAS PADA PERUSAHAAN LQ 45 YANG TERDAFTAR DI BEI,"Pendekatan penelitian yang digunakan dalam penelitian ini adalah pendekatan kuantitatif. Populasi penelitian adalah perusahaan liquid 45 yang terdaftar di Bursa Efek Indonesia dengan teknik penarikan sampel menggunakan metode Purpossive Sampling kemudian dianalisis menggunakan uji  regresi linier berganda dengan menggunakan bantuan alat analisis Statistical Program for Service Solution (SPSS) versi 16.

Hipotesis penelitian ini adalah: Di duga terdapat pengaruh secara parsial maupun simultan antara variabel Rasio Likuiditas (Current Ratio) Dan Struktur Modal (Debt To Equity Ratio) dengan  Profitabilitas (ROE) pada perusahaan liquid 45 yang terdaftar di Bursa Efek Indonesia.

Hasil dari penelitian ini menunjukkan bahwa variabel current ratio secara parsial tidak memiliki pengaruh yang tidak signifikan dengan Profitabilitas (ROE), sedangkan  pada variabel debt to equity ratio secara parsial tidak memiliki pengaruh yang tidak signifikan dengan Profitabilitas (ROE). Berdasarkan hasil uji simultan (uji F) didapatkan hasil bahwa Current Ratio dan Debt To Equity Ratio tidak memiliki pengaruh yang tidak signifikan terhadap Profitabilitas pada perusahaan-perusahaan LQ 45.

Kata kunci: Likuiditas (Current Ratio) Dan Struktur Modal (Debt To Equity Ratio) dan Profitabilitas  	(ROE)
"
PENGARUH KEPEMIMPINAN DAN KOMPENSASI TERHADAP KINERJA PEGAWAI DINAS PENDIDIKAN KABUPATEN SAMPANG,"Abstrak
Penelitian ini menggunakan metode kuantitatif, yang menekankan pada pengujian hipotesis. Variabel yang digunakan pada penelitian ini adalah kepemimpinan(X1), kompensasi (X2). Penelitian ini dilaksanakan di Kantor Dinas Pendidikan Kabupaten Sampang dan sampel yang digunakan adalah sebanyak 50 orang yang terdiri dari pegawai negeri sipil dan non PNS. 
Hipotesis pertama menjelaskan bahwa variabel bebas secara bersama–sama mempunyai hubungan yang signifikan secara simultan antara kepemimpinan (X1) dan kompensasi (X2) terhadap kinerja pegawai (Y), hal ini terbukti dengan nilai Fhitung pada tingkat ? = 5% sebesar 11,645 dengan nilai R2 sebesar 0,311. 
Hipotesis kedua menjelaskan bahwa variabel kompensasi sebagai variabel yang mempunyai pengaruh dominan, hal ini terbukti dengan nilai t hitung 3,072 ini berarti bahwa terdapat pengaruh positif dan signifikan secara parsial antara variabel bebas (X2) terhadap variabel terikat (Y). 
Kesimpulan penelitian ini adalah pengujian hipotesis pertama menunjukkan bahwa berdasarkan pengujian statistik secara simultan, variabel  bebas memiliki pengaruh yang signifikan terhadap variabel terikat. Pengujian hipotesis kedua membuktikan bahwa variabel kompensasi (X2) merupakan variabel yang berpengaruh dominan terhadap kinerja pada pegawai Dinas Pendidikan Kabupaten Sampang. 
Kata kunci : Kepemimpinan, Kompensasi, Kinerja
"
ANALISIS PERSEPSI BRAND ASSOCIATION MENURUT PELANGGAN PAKAIAN KIDDROCK (STUDI PADA DISTRO CRANBERRIES PAMEKASAN),"Tujuan penelitian ini adalah untuk mengetahui persepsi brand association menurut pelanggan pakaian Kiddrock (studi pada distro Cranberries Pamekasan). Penelitian ini menggunakan metode deskriptif, dengan  metode survei.
Populasi penelitian ini adalah pelanggan pakaian Kiddrock di distro Cranberries dan Sampel dalam penelitian ini adalah 70 orang responden di distro Cranberries pada bulan Desember 2012. Metode pengambilan sampel yang digunakan adalah sampling aksidental. Metode pengumpulan data dengan cara penelitian lapangan (field research) dengan membagikan kuesioner dan riset perpustakaan data. Teknik pengolahan data yang digunakan ialah pengolaha data dengan bantuan perangkat lunak SPSS versi 16 (uji validitas dan uji reabilitas) dan menggunakan skala likert.
Persepsi konsumen terhadap brand association terdiri dari beberapa dimensi, yaitu: dimensi jaminan, dimensi identifikasi pribadi, dimensi identifikasi sosial, dimensi status, dimensi kesediaan menerima perluasan merek, dan dimensi kesediaan untuk merekomendasikan merek. Hasil analisis menunjukan bahwa persepsi brand association menurut pelanggan pakaian Kiddrock di distro Cranberriess lebih di apresisasikan pada dimensi jaminan.

Kata kunci : Brand Association, Presepsi, Kiddrock, Cranberries."
"PENGARUH SELF EFFICACY TERHADAP PRESTASI AKADEMIK MAWAPRES
UNIVERSITAS TRUNOJOYO MADURA
","Tujuan dari penelitian ini adalah untuk mengetahui seberapa besar pengaruh variabel self efficacy yang terdiri dari; magnitude, generality, strength terhadap prestasi akademik mahasiswa berprestasi Universitas Trunojoyo Madura. Dimana, mahasiswa yang diambil adalah mahasiswa yang mengikuti mawapres Universitas Trunojoyo Madura sebanyak 19 orang. Teknik analisis menggunakan analisis regresi linier berganda. Hipotesis Penelitian ini adalah Self Efficacy yang terdiri dari variabel magnitude, generality, dan strength berpengaruh terhadap prestasi akademik. Berdasarkan pengujian hipotesis dapat diterima. 
Temuan dari penelitian ini menunjukkan bahwa variabel self efficacy yang teridiri dari: Magnitude, Generality, dan Strength berpengaruh signifikan terhadap prestasi akademik mawapres Universitas Trunojoyo Madura. Dan diperoleh nilai (R²) = 0,818 berarti variabel Magnitude, Generality, Strength memberikan pengaruh sebesar 81,8% terhadap prestasi akademik, sedangkan sisanya sebesar 18,2% dipengaruhi oleh faktor lain di luar variabel yang diteliti.
Kata Kunci : Self Efficacy,  Prestasi Akademik"
Pengaruh Iklan di televisi terhadap keputusan konsumen untuk memakai kartu seluler XL di Kecamatan Geger (studi pada iklan versi: Paket Serbu (Versi Halte),"Muhammad Sholeh, Pengaruh Iklan Di Televisi Terhadap Keputusan Konsumen Untuk Memakai Kartu Seluler XL di Kecamatan Geger, dibawah bimbingan Bambang Setiyo Pambudi, SE, MM dan Suyono, SE, M.S.M.
Penelitian ini bertujuan untuk mengetahui pengaruh iklan terhadap keputusan konsumen untuk menggunakan kartu seluler XL yang dilakukan terhadap masyarakat di kecamatan Geger Kabupaten Bangkalan dengan jumlah responden penelitian sebanyak 50 Responden, data yang terkumpul selanjutnya dilakukan analisis regresi linier berganda. Dengan menggunakan alat bantu software SPSS 16.0. Hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: bahwa pengaruh iklan yang terdiri dari isi pesan, struktur pesan, format pesan dan sumber pesan mempunyai pengaruh yang signifikan terhadap keputusan konsumen untuk menggunakan kartu seluler XL, dan pada Uji parsial diketahui bahwa variabel isi pesan merupakan variabel yang dominan memberikan pengaruh terhadap keputusan konsumen untuk menggunakan kartu seluler XL di Kecamatan Geger.
Keywords : Isi Pesan, Struktur Pesan, Format Pesan, Sumber Pesan.
"
